No,Kode_Kecamatan,Kode_Kelurahan,Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT,Tanggal Jatuh Tempo,Daerah
1041,290,2,738.0,0.0,4155000.0,3986307.0,10000.0,0.0,20/12/2019 ,LEMBANG
1042,290,2,443.0,0.0,4155000.0,2392864.0,72900.0,0.0,20/12/2019 ,LEMBANG
1043,290,2,357.0,0.0,4155000.0,1928335.0,25920.0,0.0,20/12/2019 ,LEMBANG
1044,171,6,108.0,0.0,702000.0,75816.0,57480.0,0.0,20/12/2019 ,CIHAMPELAS
1045,171,6,108.0,0.0,702000.0,75816.0,32400.0,0.0,20/12/2019 ,CIHAMPELAS
1046,171,6,108.0,0.0,702000.0,75816.0,10800.0,0.0,20/12/2019 ,CIHAMPELAS
1047,171,6,126.0,0.0,702000.0,88452.0,40100.0,0.0,20/12/2019 ,CIHAMPELAS
1048,171,6,108.0,0.0,702000.0,75816.0,10800.0,0.0,20/12/2019 ,CIHAMPELAS
1049,171,6,108.0,0.0,702000.0,75816.0,12528.0,0.0,20/12/2019 ,CIHAMPELAS
1050,171,6,108.0,36.0,702000.0,130392.0,92528.0,0.0,20/12/2019 ,CIHAMPELAS
1051,171,6,72.0,36.0,702000.0,63072.0,98528.0,0.0,20/12/2019 ,CIHAMPELAS
1052,171,6,121.0,0.0,702000.0,84942.0,86528.0,0.0,20/12/2019 ,CIHAMPELAS
1053,171,6,114.0,0.0,702000.0,80028.0,12528.0,0.0,20/12/2019 ,CIHAMPELAS
1054,171,6,60.0,31.0,702000.0,53470.0,30456.0,0.0,20/12/2020 ,CIHAMPELAS
1055,171,6,60.0,31.0,702000.0,79116.0,57688.0,0.0,20/12/2019 ,CIHAMPELAS
1056,171,6,60.0,31.0,702000.0,53470.0,19197.0,0.0,20/12/2019 ,CIHAMPELAS
1057,171,6,95.0,0.0,702000.0,66690.0,22356.0,0.0,20/12/2019 ,CIHAMPELAS
1058,171,6,60.0,31.0,702000.0,89116.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1059,171,6,72.0,36.0,702000.0,57072.0,45216.0,0.0,20/12/2019 ,CIHAMPELAS
1060,171,6,72.0,36.0,702000.0,57072.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1061,171,6,147.0,0.0,702000.0,103194.0,57184.0,0.0,20/12/2019 ,CIHAMPELAS
1062,171,6,60.0,31.0,702000.0,88943.0,28692.0,0.0,20/12/2019 ,CIHAMPELAS
1063,171,6,60.0,31.0,702000.0,88943.0,22572.0,0.0,20/12/2019 ,CIHAMPELAS
1064,171,6,60.0,31.0,702000.0,88943.0,27316.0,0.0,20/12/2019 ,CIHAMPELAS
1065,171,6,60.0,31.0,702000.0,53366.0,10980.0,0.0,20/12/2019 ,CIHAMPELAS
1066,171,6,60.0,31.0,702000.0,53366.0,10980.0,0.0,20/12/2019 ,CIHAMPELAS
1067,171,6,60.0,31.0,702000.0,88943.0,53348.0,0.0,20/12/2019 ,CIHAMPELAS
1068,171,6,72.0,36.0,702000.0,105120.0,34020.0,0.0,20/12/2019 ,CIHAMPELAS
